PEDIDO,OS,FABRICANTE,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,FOTOS,DEFEITO,ALERTA
409115N,6860,GREE,ABERTO,(007) 007617 - Evap. PT GULD36ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,007617,36000,,,OUTROS,https://photos.app.goo.gl/DKUJw2UrNMhd5e5F9,maquina nova ,
409408N,6864,GREE,ABERTO,(007) 007619 - Evap. PT GULD57ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,007619,57000,,,DANIFICADOS,https://photos.app.goo.gl/ZE313VCMY9qWk9nEA,embalagem danificada .. Maquina nova,
409408N,6865,GREE,ABERTO,(007) 007620 - Cond. PT GULD56W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,007620,57000,,,OUTROS,https://photos.app.goo.gl/FZ2o7RQST5Kh3azy6,maquina nova embalagem boa ,
419362N,6870,DAIKIN,ABERTO,(005) 005268 - Cond. DT RZAQ24BVL - Mini SkyAir - Daikin,005268,24000,,,DANIFICADOS,SEM FOTO,aguardando kit da daikin (Paloma),
398863N,6873,GREE,ABERTO,(007) 007203 - Cond. 4GWHD(36)ND6BO Multi - Gree,007203,36000,,,OUTROS,https://photos.app.goo.gl/9H4gzdCazmEmxJgTA,apenas embalagem avariada / maquina nova,
421187N,6874,GREE,ABERTO,(007) 007241 - Evap. K71v GKH(09)DA-D6DNA1A/I - Multi - Gree,007241,9000,,,OUTROS,https://photos.app.goo.gl/FHr9vxc4ihec1izn9,apenas embalagem avariada / maquina nova,
414103N,6875,MIDEA,ABERTO,(004) 041012 - Evap. 42AGVCI24M5 Inverter Xtreme Save Connect (R32) FRIO - Midea,041012,24000,,,FABRICANTE,,,
414103N,6876,MIDEA,ABERTO,(004) 041013 - Cond. 38AGVCI24M5 Inverter Xtreme Save Connect (R32) FRIO - Midea,041013,24000,,,FABRICANTE,,,
418247N,6897,MIDEA,ABERTO,(004) 004444 - Evap. K71v 40KVQOA22C5 - Carrier,004444,22000,,,FABRICANTE,,,
418247N,6898,MIDEA,ABERTO,(004) 004445 - Cond. K71v 38TVQA22515MC QUENTE/FRIO 220v INVERTER - Carrier,004445,22000,,,FABRICANTE,,,
411068N,6905,MIDEA,ABERTO,(004) 004662 - Cond. Teto 38CCW060235MC FRIO 380V Trif. - Carrier,004662,57000,,,DANIFICADOS,https://photos.app.goo.gl/x4FNhQATkikhBgB2A,PROBLEMA COM A EVAP .. ACREDITO QUE A COND ESTÁ NOVA,
422558N,6920,SAMSUNG,ABERTO,(003) 030042 - Cond DVM 05HP AM050KXMDCH Q/F 220V - Samsung,030042,5,,,DANIFICADOS,https://photos.app.goo.gl/YCQjDkB33GDjo43a6,AVARIA NA CARENAGEM,
437748N,6934,MIDEA,ABERTO,(004) 044039 - Evap. Teto 42ZQVE60C5 Xpower Inverter Connect - R32 220V - Carrier,044039,,,,DANIFICADOS,https://drive.google.com/drive/folders/1QefvFBFjFcS1tWQp38mkC9q3I4cU-p6W?usp=sharing,Máquina com avaria na tampa e vazamento na evaporadora,
417915N,6935,LG,ABERTO,(002) 002177 - Cond. S3UQ24K231B - DUAL Inverter Voice +IA (R32) Frio - LG,002177,24000,,,DANIFICADOS,https://drive.google.com/drive/folders/1Q3IiLggPnGA86JgqRUushzLvkC9bB9mq?usp=drive_link,condensadora com embalagem avariada e com a tampa amassada,
446551N,6936,MIDEA,ABERTO,(004) 041006 - Evap. 42AGVQI12M5 Inverter Xtreme Save Connect (R32) Q/F - Midea,041006,12000,,,DANIFICADOS,https://drive.google.com/drive/folders/1NYCoj4JmUgAvLy34RpsrGhY06xLOAkgH?usp=drive_link,mercadoria com pequena avaria na carenagem ,
442451N,6937,DAIKIN,ABERTO,(005) 005573 - Painel K71v BC50P-WF MULTI - Daikin,005573,0,,,FABRICANTE,,,
442451N,6938,DAIKIN,ABERTO,(005) 005573 - Painel K71v BC50P-WF MULTI - Daikin,005573,0,,,FABRICANTE,,,
443554N,6939,AGRATTO,ABERTO,(006) 006002 - AGRATTO MOD-CAR15 Cortina de Ar 150cm,006002,0,,,FABRICANTE,https://drive.google.com/drive/folders/1xoeG_wrMmqA2gz47ocOGrquLXrnHxy4y?usp=drive_link,cortina de ar com a turbina quebrada,
442913N,6940,MIDEA,ABERTO,(004) 044022 - Evap. Teto 42ZQVE60M5 Inverter - Frio R32 220V - Midea,044022,,,,DANIFICADOS,https://drive.google.com/drive/folders/14xKDDIfGeWnci9nvU0WKoMn5ZWRvBdUG?usp=drive_link,lateral quebrada e  tampa de força quebrada,
422067N-A,6941,MIDEA,ABERTO,(004) 004636 - Evap. K7 40KVQD60C5 Inverter (R-32) - Carrier,004636,60000,,,DANIFICADOS,https://drive.google.com/drive/folders/1_FyAG4vRYM2g-B2oww-mKX4xzcjKn_75?usp=drive_link,evaporadora foi instalada e  embalagem avariada,
422067N-A,6942,MIDEA,ABERTO,(004) 004636 - Evap. K7 40KVQD60C5 Inverter (R-32) - Carrier,004636,60000,,,DANIFICADOS,https://drive.google.com/drive/folders/1NrogiBdvtuyGj-6nudI1pdxDQH1xNlTw?usp=drive_link,evaporadora foi instalada e caixa avariada,
441750N,6947,TCL,ABERTO,(011) 110202 - Ar Cond. TAC-55CSG/CT-INV TCL Cassete 55 Frio,110202,,,,DANIFICADOS,https://drive.google.com/drive/folders/1H_hGNqgHNZ0petUm9ysSP875I-3uHGRG?usp=drive_link,após analise constatamos que , a condensadora chegou sem o palete de transporte , embalagem de plástico danificada e com vários aranhões e amassados no fundo da condensadora.,
446022N,6948,GREE,ABERTO,(007) 007200 - Cond. 2GWHD(18)ND6BO Multi - Gree,007200,18000,,,FABRICANTE,,,
443430N,6949,AGRATTO,ABERTO,(006) 006002 - AGRATTO MOD-CAR15 Cortina de Ar 150cm,006002,0,,,FABRICANTE,,,
424761N,6950,LG,ABERTO,(002) 002568 - Evap. HW AMNW12GSJA1 - MULTI - Q/F - LG,002568,12000,,,DANIFICADOS,https://drive.google.com/drive/folders/15W3uTS5ZBTn8an3A_MVTV7gbPTOQ8VLc?usp=drive_link,MAQUINA CHEGOU EM NOSSO CD COM AS EMBALAGEM DE OUTRO FABRICANTE,MAQUINA COM SINAIS DE INSTALAÇAO,
424761N,6951,LG,ABERTO,(002) 002570 - Evap. HW AMNW24GSKA1 - MULTI - Q/F - LG,002570,24000,,,DANIFICADOS,https://drive.google.com/drive/folders/1x7rwxbvT8NY33fv415bX03WfU7VuN3w3?usp=drive_link,MAQUINA CHEGOU EM NOSSO CD COM AS EMBALAGEM DE OUTRO FABRICANTE,MAQUINA COM SINAIS DE INSTALAÇAO,
424761N,6952,LG,ABERTO,(002) 002596 - Cond. Z4UW30GFB1 - R32 - MULTI - Q/F - LG,002596,30000,,,DANIFICADOS,https://drive.google.com/drive/folders/1aMlaQjjuL2whpQkmk_ERE-6QBomQJqJ8?usp=drive_link,MAQUINA CHEGOU EM NOSSO CD COM AS EMBALAGEM DE OUTRO FABRICANTE,MAQUINA COM SINAIS DE INSTALAÇAO,
440299N,6953,DAIKIN,ABERTO,(005) 005148 - Evap. FTKC09T5VL Full Inverter R-32 09 Frio - Daikin,005148,,,,DANIFICADOS,https://drive.google.com/drive/folders/1RgoNdLXRyOm04g9N2uzG5vDqWxBkI09v?usp=drive_link,maquina fazendo barulho - instalada,
440299N,6954,DAIKIN,ABERTO,(005) 005149 - Cond. RKC09T5VL Full Inverter R-32 09 Frio - Daikin,005149,,,,DANIFICADOS,https://drive.google.com/drive/folders/1uPtB3zH0-PpGQ0sIyMtJqaPjN5doykf-?usp=drive_link,maquina fazendo barulho - instalada,
445430N,6955,MIDEA,ABERTO,(004) 004692 - Evap. K71v 40KVQOD24C5 Inverter - Carrier,004692,24000,,,FABRICANTE,,,
448611N,6956,AGRATTO,ABERTO,(006) 006002 - AGRATTO MOD-CAR15 Cortina de Ar 150cm,006002,0,,,FABRICANTE,https://drive.google.com/drive/folders/1dYt7EGLvWzG98kAAgoGq0o5uOOkofgPu?usp=drive_link,maquina avaria na carenagem ,
